"","estimate","covariate.set"
"1",26.1303393033836,"Minimal"
"2",22.7606689013386,"Extended - Precision"
"3",23.7115747967351,"Extended shifted"
"4",34.5064346515138,"Minimal"
"5",31.4990086222779,"Extended - Precision"
"6",34.5848149453828,"Extended shifted"
"7",34.4962344748725,"Minimal"
"8",33.0643257058123,"Extended - Precision"
"9",36.7600643698998,"Extended shifted"
"10",33.7064276323697,"Minimal"
"11",33.9610739653068,"Extended - Precision"
"12",33.4010471214853,"Extended shifted"
"13",30.3748881348113,"Minimal"
"14",32.9121335825257,"Extended - Precision"
"15",27.9482208386768,"Extended shifted"
"16",35.1937257097951,"Minimal"
"17",32.9304415553993,"Extended - Precision"
"18",39.9481430593537,"Extended shifted"
"19",32.5934692818997,"Minimal"
"20",33.2666055860253,"Extended - Precision"
"21",30.3217498730701,"Extended shifted"
"22",25.8723093592859,"Minimal"
"23",28.7079910514488,"Extended - Precision"
"24",31.6167880384203,"Extended shifted"
"25",29.5033323635137,"Minimal"
"26",31.0235924800533,"Extended - Precision"
"27",27.9332144637147,"Extended shifted"
"28",30.7965092485434,"Minimal"
"29",32.0920678117524,"Extended - Precision"
"30",35.3563551620101,"Extended shifted"
"31",34.7164752517708,"Minimal"
"32",35.1115630074388,"Extended - Precision"
"33",32.6150262998523,"Extended shifted"
"34",32.0844476984783,"Minimal"
"35",31.1958646622504,"Extended - Precision"
"36",31.9195709051761,"Extended shifted"
"37",32.0898935338957,"Minimal"
"38",30.5410304620543,"Extended - Precision"
"39",33.9655172810275,"Extended shifted"
"40",37.5746738203136,"Minimal"
"41",38.0809898732038,"Extended - Precision"
"42",41.0898048935511,"Extended shifted"
"43",28.0100500289528,"Minimal"
"44",30.1143392524146,"Extended - Precision"
"45",25.2482532233023,"Extended shifted"
"46",35.3492248478954,"Minimal"
"47",31.9185871281738,"Extended - Precision"
"48",35.2858170278846,"Extended shifted"
"49",34.0670944573345,"Minimal"
"50",30.2863752484019,"Extended - Precision"
"51",31.7289731825714,"Extended shifted"
"52",34.7784545697633,"Minimal"
"53",31.5068340196742,"Extended - Precision"
"54",32.9492336963775,"Extended shifted"
"55",31.8052977014586,"Minimal"
"56",30.8225083797456,"Extended - Precision"
"57",36.2539175740716,"Extended shifted"
"58",37.7782604701212,"Minimal"
"59",37.8415916044398,"Extended - Precision"
"60",39.5601930474659,"Extended shifted"
"61",34.206879076977,"Minimal"
"62",33.508195392351,"Extended - Precision"
"63",27.8386982858022,"Extended shifted"
"64",30.7267668374252,"Minimal"
"65",30.2281488651969,"Extended - Precision"
"66",27.6359897430045,"Extended shifted"
"67",31.7438007134002,"Minimal"
"68",30.9575756530679,"Extended - Precision"
"69",28.614275149914,"Extended shifted"
"70",23.4278853944854,"Minimal"
"71",25.6760439131123,"Extended - Precision"
"72",18.0919063722191,"Extended shifted"
"73",28.8149745764481,"Minimal"
"74",31.3893579994808,"Extended - Precision"
"75",29.5073007567647,"Extended shifted"
"76",30.1017346906029,"Minimal"
"77",29.0643134494995,"Extended - Precision"
"78",37.5969188336692,"Extended shifted"
"79",26.2664069867176,"Minimal"
"80",28.1425287854324,"Extended - Precision"
"81",22.4962890659487,"Extended shifted"
"82",28.0510919173277,"Minimal"
"83",31.1497851624006,"Extended - Precision"
"84",29.2273546679775,"Extended shifted"
"85",33.1238503436634,"Minimal"
"86",29.2976981462189,"Extended - Precision"
"87",27.8412245937422,"Extended shifted"
"88",33.5741654528626,"Minimal"
"89",31.1983707537243,"Extended - Precision"
"90",37.5079861010857,"Extended shifted"
"91",32.0823420777997,"Minimal"
"92",28.493730946537,"Extended - Precision"
"93",29.6851590595832,"Extended shifted"
"94",31.686788982663,"Minimal"
"95",31.8829642436607,"Extended - Precision"
"96",35.669327334804,"Extended shifted"
"97",27.4515851276076,"Minimal"
"98",28.2542362811011,"Extended - Precision"
"99",32.4076835697389,"Extended shifted"
"100",34.3222573472782,"Minimal"
"101",26.8418084925083,"Extended - Precision"
"102",24.2102030549732,"Extended shifted"
"103",30.7871852920676,"Minimal"
"104",30.3612752014549,"Extended - Precision"
"105",30.1080333549962,"Extended shifted"
"106",35.2082587269043,"Minimal"
"107",34.6172494412697,"Extended - Precision"
"108",31.1707330013961,"Extended shifted"
"109",34.9542304953572,"Minimal"
"110",34.557125033743,"Extended - Precision"
"111",33.4948864093755,"Extended shifted"
"112",36.2551856269596,"Minimal"
"113",34.0491019389339,"Extended - Precision"
"114",35.7457057277607,"Extended shifted"
"115",29.0821160759694,"Minimal"
"116",28.9008399925021,"Extended - Precision"
"117",25.9887076050751,"Extended shifted"
"118",34.3595483884828,"Minimal"
"119",33.5529500707464,"Extended - Precision"
"120",37.3185369065392,"Extended shifted"
"121",33.416251805942,"Minimal"
"122",32.665813281505,"Extended - Precision"
"123",41.6578266536693,"Extended shifted"
"124",29.2746304383901,"Minimal"
"125",29.523566954621,"Extended - Precision"
"126",29.9918851549774,"Extended shifted"
"127",36.2914811436155,"Minimal"
"128",34.835584654253,"Extended - Precision"
"129",30.8211716766397,"Extended shifted"
"130",30.4116417631618,"Minimal"
"131",32.0272953544948,"Extended - Precision"
"132",31.9161726559218,"Extended shifted"
"133",30.9977368243271,"Minimal"
"134",32.109593296338,"Extended - Precision"
"135",35.4532246795826,"Extended shifted"
"136",30.1524265577506,"Minimal"
"137",28.572342390605,"Extended - Precision"
"138",29.257510279932,"Extended shifted"
"139",31.7882811209448,"Minimal"
"140",32.2801197369414,"Extended - Precision"
"141",33.7728120943017,"Extended shifted"
"142",29.198317556138,"Minimal"
"143",33.1242425072588,"Extended - Precision"
"144",29.981041946607,"Extended shifted"
"145",28.5594835695396,"Minimal"
"146",29.8482148197129,"Extended - Precision"
"147",30.9704932192114,"Extended shifted"
"148",31.4306979329421,"Minimal"
"149",33.5774572810872,"Extended - Precision"
"150",32.6128821988812,"Extended shifted"
"151",29.6326447486806,"Minimal"
"152",30.2837546015106,"Extended - Precision"
"153",31.051750784893,"Extended shifted"
"154",31.6363634640906,"Minimal"
"155",29.5359643608634,"Extended - Precision"
"156",31.0385408234842,"Extended shifted"
"157",37.9023653189261,"Minimal"
"158",35.1174683291557,"Extended - Precision"
"159",41.47545135758,"Extended shifted"
"160",25.4519707561695,"Minimal"
"161",25.3231567796015,"Extended - Precision"
"162",25.2623653288534,"Extended shifted"
"163",31.0975803966405,"Minimal"
"164",31.7257815269296,"Extended - Precision"
"165",35.6377440267662,"Extended shifted"
"166",35.6080932011445,"Minimal"
"167",33.8363364337599,"Extended - Precision"
"168",40.4077366971965,"Extended shifted"
"169",31.1960595513838,"Minimal"
"170",31.1531733526221,"Extended - Precision"
"171",31.1208218289815,"Extended shifted"
"172",35.649757710795,"Minimal"
"173",32.3242954796914,"Extended - Precision"
"174",35.215319695434,"Extended shifted"
"175",29.0791537050133,"Minimal"
