"","estimate","pt","pr","covariate.set","n","m"
"1",6.76899736481539,0.1,0.5,"Extended",150,1000
"2",6.53802873379272,0.1,0.5,"Minimal",150,1000
"3",5.53992702744524,0.1,0.25,"Extended",150,1000
"4",5.28845700260276,0.1,0.25,"Minimal",150,1000
"5",5.65442726460876,0.1,0.5,"Extended",150,1000
"6",5.61422379562811,0.1,0.5,"Minimal",150,1000
"7",6.70726550124889,0.1,0.25,"Extended",150,1000
"8",6.57513215504665,0.1,0.25,"Minimal",150,1000
"9",5.73426377176978,0.1,0.5,"Extended",150,1000
"10",5.84381111813697,0.1,0.5,"Minimal",150,1000
"11",5.14123499250796,0.1,0.25,"Extended",150,1000
"12",5.20021685861459,0.1,0.25,"Minimal",150,1000
"13",6.76061107515303,0.1,0.5,"Extended",150,1000
"14",5.51088492760716,0.1,0.5,"Minimal",150,1000
"15",7.05149504623809,0.1,0.25,"Extended",150,1000
"16",7.17708018146182,0.1,0.25,"Minimal",150,1000
"17",7.54536602103922,0.1,0.5,"Extended",150,1000
"18",7.70305486677182,0.1,0.5,"Minimal",150,1000
"19",6.34398750629906,0.1,0.25,"Extended",150,1000
"20",6.33408811318876,0.1,0.25,"Minimal",150,1000
"21",8.12818575010646,0.1,0.5,"Extended",150,1000
"22",8.12110571808073,0.1,0.5,"Minimal",150,1000
"23",5.16377920346667,0.1,0.25,"Extended",150,1000
"24",5.06477112470004,0.1,0.25,"Minimal",150,1000
"25",6.08640846219556,0.1,0.5,"Extended",150,1000
"26",6.0998981360574,0.1,0.5,"Minimal",150,1000
"27",7.32799005824143,0.1,0.25,"Extended",150,1000
"28",7.07363153727194,0.1,0.25,"Minimal",150,1000
"29",6.22071122080013,0.1,0.5,"Extended",150,1000
"30",6.59753357514533,0.1,0.5,"Minimal",150,1000
"31",6.87414111397591,0.1,0.25,"Extended",150,1000
"32",6.646494256181,0.1,0.25,"Minimal",150,1000
"33",6.5738716652344,0.1,0.5,"Extended",150,1000
"34",5.91868776009968,0.1,0.5,"Minimal",150,1000
"35",5.93590636106977,0.1,0.25,"Extended",150,1000
"36",6.24294239928055,0.1,0.25,"Minimal",150,1000
"37",6.29442695252895,0.1,0.5,"Extended",150,1000
